Iteration,Experiment Index,Observed Yield Strength,UCB Score,Mean Prediction,Standard Deviation,Max Yield Strength in Dataset,Stopping Reason
0,107,1309.1,,,,2510.3,Initial selection
1,87,1393.5,899.3740381124322,897.0709493475555,23.030887648767354,2510.3,Continuing
2,78,1580.1,1393.1329404769065,1393.0529702408214,0.7997023608495705,2510.3,Continuing
3,264,1288.4,3.1622776602528666,8.448754129187313e-11,31.62277660168379,2510.3,Continuing
4,154,1123.1,3.1622776602493508,8.097174371699806e-11,31.62277660168379,2510.3,Continuing
5,300,1164.4,3.1622776602903007,1.2192170138369085e-10,31.62277660168379,2510.3,Continuing
6,261,1287.3,3.1802460400694152,0.017968380277551845,31.62277659791863,2510.3,Continuing
7,5,1164.4,449.8522306143668,447.0004481141555,28.517825002112996,2510.3,Continuing
8,198,1061.1,192.69905511509168,189.62200972275002,30.770453923416664,2510.3,Continuing
9,43,1026.6,62.70907935304752,59.55172997754849,31.573493754990285,2510.3,Continuing
10,130,1109.3,958.9640642258934,957.8191944549159,11.448697709775166,2510.3,Continuing
11,233,1088.6,845.1863643714972,843.1442658684643,20.420985030328907,2510.3,Continuing
12,184,1012.8,210.57195316944458,207.60387629971714,29.680768697274463,2510.3,Continuing
13,159,2356.4,64.75926646148423,61.61623236620327,31.43034095280957,2510.3,Continuing
14,194,1233.3,1264.47513276558,1261.8236500481273,26.514827174526644,2510.3,Continuing
15,73,2381.6,284.5927884627761,281.45383821494744,31.389502478286992,2510.3,Continuing
16,292,2372.4,1581.3162909160858,1579.0772056554724,22.390852606134384,2510.3,Continuing
17,206,2331.1,1619.8489061195958,1617.6352953289404,22.136107906554074,2510.3,Continuing
18,99,2411.5,1896.3895168556642,1894.5156111507022,18.73905704961926,2510.3,Continuing
19,31,2487.3,1144.808231386368,1142.3019791352124,25.062522511556676,2510.3,Continuing
20,191,2411.5,1240.0720383106343,1237.462265696164,26.097726144704087,2510.3,Continuing
21,71,2501.1,1237.504977454243,1235.1429349681505,23.620424860925382,2510.3,Continuing
22,212,2249.6,771.4983460533613,768.6597404509457,28.386056024155213,2510.3,Continuing
23,289,1571.2,793.8173145274931,790.8955474943822,29.21767033110901,2510.3,Continuing
24,273,2402.3,546.2523193542028,543.1974920607441,30.548272934585793,2510.3,Continuing
25,106,2381.6,1071.0582510782294,1068.2261812875806,28.32069790648712,2510.3,Continuing
26,306,2510.3,480.40625751973175,477.35570662731556,30.505508924161724,2510.3,Max yield strength reached
