Iteration,Experiment Index,Observed Yield Strength,UCB Score,Mean Prediction,Standard Deviation,Max Yield Strength in Dataset,Stopping Reason
0,195,1296.0,,,,2510.3,Initial selection
1,72,1317.0,1299.4004986411117,1293.4363314697487,1.9880557237876695,2510.3,Continuing
2,42,1350.3,1302.048995870233,1286.165146175027,5.29461656506866,2510.3,Continuing
3,284,1348.6,1357.3662876555586,1339.6712082371869,5.898359806123936,2510.3,Continuing
4,131,1391.2,1340.723251979233,1335.6376432903448,1.6952028962961017,2510.3,Continuing
5,58,1276.5,1362.286654519301,1349.7816047257666,4.168349931178172,2510.3,Continuing
6,307,1344.0,1327.6208359374132,1307.8107027736405,6.603377721257567,2510.3,Continuing
7,88,1294.9,1338.4808179816748,1317.8459340737327,6.878294635980685,2510.3,Continuing
8,133,1312.0,1294.0821935210313,1279.8079505238757,4.758080999051902,2510.3,Continuing
9,145,1285.0,1309.156584102416,1299.0442427363866,3.370780455343121,2510.3,Continuing
10,95,1277.7,1233.4436098540805,1227.499803487357,1.9812687889078533,2510.3,Continuing
11,286,1297.5,1250.6020307156896,1236.5131719428932,4.696286257598795,2510.3,Continuing
12,137,1308.0,1064.0918814998354,1026.157903338506,12.64465938710976,2510.3,Continuing
13,242,1305.4,171.8331865077198,77.17103231753087,31.554051396729637,2510.3,Continuing
14,81,1280.8,1067.246644532625,1019.28709134716,15.986517728488323,2510.3,Continuing
15,255,1280.2,1270.5541384174235,1244.3307829666821,8.741118483580419,2510.3,Continuing
16,56,1357.9,227.44356926862602,133.0317096262861,31.470619880779974,2510.3,Continuing
17,295,1276.7,1335.1096226962416,1308.3699067299688,8.913238655424255,2510.3,Continuing
18,114,1269.0,1215.1156266783025,1195.2643607080283,6.617088656758031,2510.3,Continuing
19,7,1306.9,1214.071192085312,1204.36356389062,3.235876064897325,2510.3,Continuing
20,140,1521.3,110.75965354787809,16.403681298870993,31.451990749669033,2510.3,Continuing
21,51,1462.7,95.02802754969605,0.15970073267528903,31.622775605673585,2510.3,Continuing
22,272,1555.8,455.6641642340166,363.7772056892195,30.62898618159903,2510.3,Continuing
23,230,1475.8,149.18001326881927,54.35515819852251,31.60828502343225,2510.3,Continuing
24,221,1506.8,517.2549453753805,426.7044581373364,30.183495746014724,2510.3,Continuing
25,163,1383.5,537.7573781125251,447.37873868152013,30.126213143668327,2510.3,Continuing
26,253,1414.5,682.1073139777948,593.6502549523412,29.48568634181784,2510.3,Continuing
27,297,1404.2,441.9645633094518,348.9429994718534,31.007187945866136,2510.3,Continuing
28,310,1390.4,740.1102253550837,658.303013239159,27.269070705308227,2510.3,Continuing
29,109,1437.3,1233.3775313632914,1184.3640932781198,16.3378126950572,2510.3,Continuing
30,294,1390.4,1055.571027694184,985.9321224221725,23.21296842400384,2510.3,Continuing
31,125,1272.6,956.9259468654177,892.0858068858181,21.613379993199874,2510.3,Continuing
32,254,1324.3,1154.8266224272975,1110.1603173468786,14.888768360139627,2510.3,Continuing
33,190,1243.6,1049.9930094913584,995.9102838782284,18.027575204376717,2510.3,Continuing
34,29,1254.0,1099.2239443461344,1055.8009496956915,14.474331550147632,2510.3,Continuing
35,209,1309.8,1092.3470136644873,1041.68045455014,16.888853038115798,2510.3,Continuing
36,234,1212.6,1052.9552461217095,1005.9678043368046,15.662480594968292,2510.3,Continuing
37,143,1216.8,1163.2990098821333,1123.4202507272955,13.29291971827928,2510.3,Continuing
38,48,1451.7,1007.4097904690732,949.9402761658189,19.15650476775145,2510.3,Continuing
39,28,1230.6,949.2585971014236,896.6599025764144,17.532898175003034,2510.3,Continuing
40,161,1167.2,985.1665680399756,933.2416429972687,17.308308347568957,2510.3,Continuing
41,153,1194.0,790.4402983273608,726.1399789340722,21.43343979776285,2510.3,Continuing
42,97,1420.0,790.8139267027534,711.808395733993,26.3351769895868,2510.3,Continuing
43,149,1304.3,811.7393134775241,735.8063361810641,25.310992432153306,2510.3,Continuing
44,277,1172.0,557.0045903531773,471.58710806288485,28.472494096764127,2510.3,Continuing
45,241,1218.8,362.3147646153733,269.60599138824364,30.90292440904322,2510.3,Continuing
46,268,1263.6,632.6148268007615,544.4001290822971,29.404899239488156,2510.3,Continuing
47,22,1267.8,625.3141727649381,537.8091025037089,29.168356753743083,2510.3,Continuing
48,218,1169.2,616.9524692689088,531.4950842644334,28.485795001491766,2510.3,Continuing
49,196,1150.6,749.4325298351874,671.1828490089049,26.083226942094175,2510.3,Continuing
50,247,1036.9,602.7379280993257,517.4695653017634,28.422787599187448,2510.3,Continuing
51,271,1061.7,1016.7134723575415,974.9873939389201,13.908692806207105,2510.3,Continuing
52,116,1010.8,746.5389028091913,668.0480009194473,26.163633963248003,2510.3,Continuing
53,166,1091.4,613.5666403099651,530.1103592114787,27.81876036616214,2510.3,Continuing
54,60,1340.8,462.9321058610115,371.42324887175107,30.502952329753477,2510.3,Continuing
55,258,1224.7,1207.104038087937,1157.9583335637753,16.381901508053893,2510.3,Continuing
56,182,1150.6,1130.9359647021824,1080.1930873317347,16.91429245681593,2510.3,Continuing
57,168,1258.8,1025.9275505979654,968.0670198797089,19.28684357275213,2510.3,Continuing
58,211,1243.0,1188.258247685685,1133.3502199909742,18.30267589823697,2510.3,Continuing
59,164,1282.2,1110.5330040796873,1056.423122446666,18.036627211007115,2510.3,Continuing
60,85,1175.4,1007.2232875124622,965.7884897070776,13.811599268461535,2510.3,Continuing
61,23,1207.8,1033.3961019653193,975.7042584207786,19.230614514846863,2510.3,Continuing
62,70,1087.0,916.1139171954505,860.8651935828137,18.416241204212255,2510.3,Continuing
63,243,1194.0,923.2281385987701,877.0027645872894,15.408458003826876,2510.3,Continuing
64,66,1157.5,951.2343597251815,902.0210330646598,16.40444222017392,2510.3,Continuing
65,180,1182.0,845.5001650942385,763.068821745153,27.47711444969517,2510.3,Continuing
66,290,1005.9,790.7592573891991,710.3106947450092,26.816187548063322,2510.3,Continuing
67,104,1032.1,870.2568834642279,811.3030637943932,19.651273223278253,2510.3,Continuing
68,128,1172.0,891.5927812007806,825.2723889610974,22.106797413227746,2510.3,Continuing
69,129,1173.8,771.4919124613054,717.5885266769801,17.967795261441772,2510.3,Continuing
70,303,1221.6,916.6917316797535,865.6356613629127,17.018690105613594,2510.3,Continuing
71,0,1167.2,715.5782195746528,654.2963180175057,20.427300519049076,2510.3,Continuing
72,217,1178.9,649.0694312205737,573.6331060368118,25.145441727920648,2510.3,Continuing
73,152,1163.0,985.9947612431574,942.5982198110689,14.465513810696162,2510.3,Continuing
74,17,1188.6,1011.296901688317,961.777500523568,16.50646705491631,2510.3,Continuing
75,207,1019.0,352.94431684470743,261.1799695738931,30.5881157569381,2510.3,Continuing
76,59,1145.8,269.388462122046,177.0075894310427,30.793624230334444,2510.3,Continuing
77,80,1125.0,122.63767798301429,27.862217591423832,31.591820130530152,2510.3,Continuing
78,111,1274.7,95.0514991616513,0.18317596530327215,31.62277439878267,2510.3,Continuing
79,139,1350.4,1262.3316733200952,1240.5258625245212,7.268603598524688,2510.3,Continuing
80,201,1586.7,95.42758636242934,0.559674074831293,31.622637429199347,2510.3,Continuing
81,123,1729.4,626.7585019782255,537.503262741901,29.75174641210815,2510.3,Continuing
82,93,1755.2,130.0927203065791,35.239973225952085,31.617582360209003,2510.3,Continuing
83,157,1779.7,158.1169961746981,63.285401692080924,31.610531494205723,2510.3,Continuing
84,288,1768.0,181.8671762569142,87.11471705377225,31.584153067713977,2510.3,Continuing
85,147,1736.3,97.0419453253711,2.1736594362660244,31.62276196303503,2510.3,Continuing
86,55,1463.0,94.93890023954566,0.0705707158286728,31.62277650790566,2510.3,Continuing
87,132,1478.4,759.1771603963946,675.0088685175842,28.0560972929368,2510.3,Continuing
88,65,1362.9,103.73746110240721,8.87231211448937,31.621716329305944,2510.3,Continuing
89,309,1212.0,94.87442606378258,0.006096259406800507,31.622776601458593,2510.3,Continuing
90,239,1144.8,634.3786452650806,549.8343366196411,28.181436215146505,2510.3,Continuing
91,240,1267.1,97.83471523425541,2.9670648241851385,31.62255013669009,2510.3,Continuing
